Response Identifier,StartDate,EndDate,Status,Progress,Duration__in_seconds_,Finished,RecordedDate,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Consent,S1_live_work_1,S1_live_work_2,S1_live_work_3,S1_live_work_4,S1_live_work_5,S2_race_ethnicity_1,S2_race_ethnicity_2,S2_race_ethnicity_3,S2_race_ethnicity_4,S2_race_ethnicity_5,S2_race_ethnicity_6,S2_race_ethnicity_7,S2_race_ethnicity_7_TEXT,S3_18age,Q77,Q1_no_of_jobs,Q2_sector_precovid_1,Q2_sector_precovid_2,Q2_sector_precovid_3,Q2_sector_precovid_4,Q2_sector_precovid_5,Q2_sector_precovid_6,Q2_sector_precovid_7,Q2_sector_precovid_8,Q2_sector_precovid_9,Q2_sector_precovid_10,Q2_sector_precovid_9_TEXT,Q2_sector_precovid_10_TEXT,Q3_discrimination,Q4_laidoff,Q5_laidoff_prejudice,Q6_return_to_work_op,Q7_otherjobs,Q8_get_other_job,Q9_current_sector_1,Q9_current_sector_2,Q9_current_sector_3,Q9_current_sector_4,Q9_current_sector_5,Q9_current_sector_6,Q9_current_sector_7,Q9_current_sector_8,Q9_current_sector_9,Q9_current_sector_10,Q9_current_sector_9_TEXT,Q9_current_sector_10_TEXT,Q10_work_status,Q11_hours_change,Q12_conditions_chang,Q13_employer_offers_1,Q13_employer_offers_2,Q13_employer_offers_3,Q13_employer_offers_4,Q13_employer_offers_5,Q13_employer_offers_6,Q13_employer_offers_7,Q13_employer_offers_8,Q13_employer_offers_9,Q13_employer_offers_10,Q13_employer_offers_11,Q13_employer_offers_12,Q13_employer_offers_13,Q13_employer_offers_14,Q13_employer_offers_14_TEXT,Q14_work_location,Q15_remote_accom,Q16_onsite_safety,Q17_worker_laws_1,Q17_worker_laws_2,Q17_worker_laws_3,Q17_worker_laws_4,Q17_worker_laws_5,Q17_worker_laws_6,Q17_worker_laws_7,Q17_worker_laws_8,Q17_worker_laws_9,Q18_UI_applied,Q19_UI_applied_yes,Q20_UI_applied_no_1,Q20_UI_applied_no_2,Q20_UI_applied_no_3,Q20_UI_applied_no_4,Q21_looking_for_opps_1,Q21_looking_for_opps_2,Q21_looking_for_opps_3,Q21_looking_for_opps_4,Q21_looking_for_opps_5,Q21_looking_for_opps_4_TEXT,Q22_covid_testing,Q22_covid_testing_7_TEXT,Q23_poscovid_cowork,Q23_poscovid_cowork_1_TEXT,Q24_vaccine,Q25_no_vaccine_yet_1,Q25_no_vaccine_yet_2,Q25_no_vaccine_yet_3,Q25_no_vaccine_yet_4,Q25_no_vaccine_yet_5,Q26_respect,Q26_respect_2_TEXT,Q27_homerole_changes_1,Q27_homerole_changes_2,Q27_homerole_changes_3,Q27_homerole_changes_4,Q27_homerole_changes_5,Q27_homerole_changes_6,Q27_homerole_changes_7,Q27_homerole_changes_6_TEXT,Q28_housing_challeng,Q29_food_needs_met,Q30_financial_aid_1,Q30_financial_aid_2,Q30_financial_aid_3,Q30_financial_aid_4,Q30_financial_aid_5,Q30_financial_aid_6,Q30_financial_aid_5_TEXT,Q31_federal_stimulus,Q31_federal_stimulus_4_TEXT,Q32_stress_level_1,Q34_year_born,Q35_zipcode,Q36_gender_1,Q36_gender_2,Q36_gender_3,Q36_gender_4,Q36_gender_5,Q36_gender_6,Q36_gender_5_TEXT,Q37_kids_at_home,Q37_kids_at_home_1_TEXT,Q38_income,Validity,Five_min_flag,Ten_min_flag,Not_in_CA_Flag,Flag_Qualtrics_Bot,Flag_Qualtrics_Duplicate,Flag_Qualtrics_Fraud,Duplicate_IP,InDupGrp
739,6/10/21 11:51,6/10/21 12:00,0,100,522,1,6/10/21 12:00,EN,0.9, ,0,0,10/14/1582 0:00:00,1, , , ,1, , , ,1, , , , , ,1, ,3,1, , , , ,1, , , , , , ,2,2, ,1,2, , , , , , , , , , , , , , ,3,2,1, , , , , ,1,1,1, , , , , , ,2, ,1, , , , , , , , , ,1,1, , , , ,1, ,1, , , ,4, , , ,3, , , ,1, , , , ,1, , , , , , ,2,1, ,1, , , , , , , ,4,1993,92114,1, , , , , , ,2, ,3,1, ,1, , , , ,0,
740,6/10/21 12:21,6/10/21 12:32,0,100,668,1,6/10/21 12:32,EN,0.8, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,4,1, , , , , , , ,1,1,Yoga Instructor,Customer Service / Hospitality,2,1, ,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,1, , ,1,2, , ,1, , , , , ,1, ,Health / wellness,7,N/A, , ,3, , , , ,1, , , , , , , , , , , ,1,1, , , , , , , , ,4,1992,90004, ,1, , , , , ,2, ,2,1, , , , , , ,0,
741,6/10/21 12:41,6/10/21 12:49,0,100,466,1,6/10/21 12:49,EN,0.9, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2, , , , ,1,1, , , , , , ,2,3, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,1,1, , , , ,1, ,1,1, , ,4, , , ,3, , , ,1,1, , ,1,1, , ,1, , , ,1,1, ,1, , , , , ,2, ,1,1991,90044, ,1, , , , , ,1,4,2,1, ,1, , , , ,0,
742,6/10/21 13:09,6/10/21 13:27,0,100,1084,1,6/10/21 13:27,EN,0.9, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,3, ,1, , , , , , , ,1, ,Valet parking,1,1,2,1,2, , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , ,1, , ,2, ,2, , , , , , , , , ,1,1, , , , ,1,1, , , , ,4, , , ,2, , , , , , , ,1,1, , , , , , ,1,3,1, , , , , , , , ,2, , ,1, , , , , , ,1, ,4,1, , , , , , ,0,
743,6/10/21 13:32,6/10/21 13:36,0,100,255,1,6/10/21 13:36,EN,0.8, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2,1, , , , , , , , , , , ,2,4, , , , , , , , , , , , , , , , ,1,3,1,1,1,1, , ,1, ,1, , , , , ,1,Work from home,1,2, ,1,1,1, , , , , , ,2, , , , ,1,1, , , , , ,2, ,2, ,2, , , , , ,1, , , , , ,1, , , ,2,1,1, , , , , , , , ,3,1991,90004, ,1, , , , , ,2, ,5,1,1,1, , , , ,0,
744,6/10/21 13:58,6/10/21 14:07,0,100,529,1,6/10/21 14:07,EN,1, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2,1, , , , , , ,1, , , , ,2,4, , , , ,1, , , , , , , , , , , ,1,1,1,1,1,1, , ,1,1,1,1,1,1, , , , ,2, ,2,1,1,1, , ,1, ,1,1,2, , , , ,1, , , , ,1, ,1, ,1, ,2, , , , , ,1, , ,1,1, ,1, , , ,1,1,1,1, , , , , , , ,5,1977,90302, ,1, , , , , ,2, ,3,1, ,1, , , , ,0,
745,6/10/21 14:01,6/10/21 14:14,0,100,774,1,6/10/21 14:14,EN,0.9, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2, , , , , , , , , ,1, ,Finance,1,4, , , , , , , , , , , , , ,1, ,One employer, , ,1, , ,1, , ,1,1, , , , , , , , ,1,2, , , , , , , , , , ,2, , , , ,1, ,1, , ,1, ,5, ,1,1,2, , , , , ,1, , , , , , , ,1, ,2,1, , , , ,1, ,Do not qualify, , ,5,1962,91001,1, , , , , , ,1,1,8,1, , , , , , ,0,
746,6/10/21 14:06,6/10/21 14:31,0,100,1533,1,6/10/21 14:31,EN,1, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2,1, , , , , , , , , , , ,2,4, , , , ,1, , , , , , , , , , , ,1,4,2,1,1,1, , , , , , , , , , , , ,2, ,2, , ,1, , , , , , ,2, , , , ,1, , , , ,1, ,4, ,1,10-May,2, , , , , ,1, ,1, , , , , , , ,2,1, , , , , ,1, , , ,2,1979,90249,1, , , , , , ,1,1,5,1, , , , , , ,0,
747,6/10/21 15:13,6/10/21 15:17,0,100,219,1,6/10/21 15:17,EN,1, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2, , , , , , , , , ,1, ,Finance,1,4, , , , , , , , , , , , , , , , ,1,3,1, , , , , , , , , , , , ,1, , ,1,1, ,1,1,1,1,1,1,1,1, ,2, , , , ,1, , , , ,1, ,7,At usc,2, ,2, , , , , ,1, , , , , , , ,1, ,2,1, , , , , ,1, ,4,I make too much money,1,1990,90302,1, , , , , , ,2, ,7,1,1,1, , , , ,0,
748,6/10/21 16:45,6/10/21 16:57,0,100,711,1,6/10/21 16:57,EN,0.9, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2, , , , , , , , , ,1, ,Management and technology consulting,1,1,1,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , ,1,2, , , ,1, , , , ,1, ,Technology consulting,2, , , ,2, , , , , , , ,1, , , , , , , ,2,3,1, , , , , , , , ,5,1992,91367, ,1, , , , , ,1,1,6,1, , , , , , ,0,
749,6/10/21 19:16,6/10/21 19:28,0,100,662,1,6/10/21 19:28,EN, , , , ,10/14/1582 0:00:00,1,1, , , , , , ,1, , ,1, , ,1, ,3,1, , ,1, , , , , , , , , ,2, ,2,1,1,1, , , , , , , , , , , ,1,1,1,1,1,1, , ,1,1,1,1, ,1, , , , ,1,2, ,1,1,1,1,1,1, ,1,1,2, , , ,1, ,1, , , , , ,2, ,1,20,2, , , , , ,2,Easy to go around black leadership and not include them in a remote environment,1,1, , , ,1, ,Care for autistic child more difficult / lost therapy sessions & other supports,2,1,1, , , , , , , , ,4,1980,90503, ,1, , , , , ,1,4,8,1, , , , , , ,0,
750,6/10/21 21:17,6/10/21 21:17,0,100,26,1,6/10/21 21:17,EN,1, ,0,0,10/14/1582 0:00:00,1,1, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1, , , , ,0,
751,6/10/21 21:16,6/10/21 21:21,0,100,302,1,6/10/21 21:21,EN,0.9,,0,0,4-Oct-1582 00:00:00,1,1,,,,,,,1,,,,,,1,,4,1,,,,,,,,1,1,,Gym,1,1,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,,,1,1,1,1,,,2,,,,2,,,,,,,,1,1,1,,1,,,,1,2,1,1,,,,,,,,5,2001,91331,,1,,,,,,1,6,2,1,,1,,,,,0,
752,6/10/21 21:39,6/10/21 22:25,0,100,2731,1,6/10/21 22:25,EN,1, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2, , , , , , , , , ,1, ,Legal Administration,1,4, , , , , , , , , , , , , ,1, ,Legal Administration,1,3,1,1,1, , , , , , , , , , , , , ,2, ,2,1,1,1,1,1, ,1, ,1,1,1, , , , ,1, , , , , ,2, ,1,Unknown,3, , , ,1, ,1, , ,1, , ,1, , , , ,3,1,1, , , , , , , ,3,1984,90810, ,1, , , , , ,1,2,3,1, , , , , , ,0,
753,6/11/21 0:45,6/11/21 1:08,0,100,1399,1,6/11/21 1:08,EN,1, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2, , , , , , , , , ,1, ,HVAC bldg. automation,2,4, , , , , , , , , , , , , , , , ,1, ,2,1,1, , , ,1,1,1,1,1,1, , , , ,2, ,2,1,1, , , ,1,1,1,1,2, , , , ,1, , , , ,1, ,4, ,2, ,1, , , , , ,1, , , , , , , ,1, ,2,1, , , , , ,1, ,4,my annual earnings exceeded the earnings ceiling rendering me ineligible.,2,1952,91766,1, , , ,1, ,"Thank you for the offer of the gift card. But, give it to someone else.                                                             Give the $15.00 gift card to another participant.",1,1,7,1, , , , , , ,0,
754,6/11/21 9:32,6/11/21 9:35,0,100,208,1,6/11/21 9:35,EN,0.9, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1,1, , , , ,1, ,4, , , , ,1, , , , , , , ,2,1, ,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, ,1,1, ,1, ,1,1, , , , , , , , ,1, ,2, ,1,4,2, , , , , ,1, , ,1, , ,1, , , ,1,1, , , , , , , ,1, ,4,1993,91206,1, , , , , , ,2, ,4,1,1,1, , , , ,0,
755,6/11/21 10:01,6/11/21 10:04,0,100,198,1,6/11/21 10:04,EN,1, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2, , , , ,1, , , , , , , ,2,4, , , , , , , , ,1, , , , , , , ,1,1,2,1,1,1, , ,1,1,1,1, ,1, , , , ,1,1, , , , , , , , , , ,2, , , ,1, , , , , ,1, ,2, ,2, ,2, , , , , ,1, , , , , , , ,1, ,2,1,1, , , , , , , , ,3,1991,90020, ,1, , , , , ,2, ,5,1,1,1, , , , ,0,
756,6/11/21 11:25,6/11/21 11:46,0,100,1226,1,6/11/21 11:46,EN,0.9, ,0,0,10/14/1582 0:00:00,1, ,1, , , , , ,1, , , , , ,1, ,1, , , , , , , , , , , , , , , , , ,1, , ,1, , , , , , , , , ,1,3,1, , , , , ,1, , , ,1, , , , , ,2, ,1, , , , , , , , , ,2, , , ,1,1, , , ,1, , ,2, ,1,I dont know,1, , , , , ,2,"No i have not. I've experienced racism and favoritism at my place of work... Regardless of how hard l work. I've written an incident report about it, discussed it with my Manager But very little has been done. People at my job often laugh and snarl at me. I usually take my breaks alone.", , , , , ,1, ,Depression,2,3, , , , , ,1, ,1, ,5,1980,92410, ,1, , , , , ,1,3,9,1, , , , , , ,0,
757,6/11/21 12:02,6/11/21 12:11,0,100,540,1,6/11/21 12:11,EN,1, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,3,1, , , , , , , ,1, ,IHSS, ,2,1, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,2, , , , , , , ,1, ,I hope to become self employed.,3, , , ,2, , , , , , , ,1,1, ,1,1, , , ,2,1,1, , , , , , , , ,5,1960,90723, ,1, , , , , ,1,1,3,1, ,1, , , , ,0,
758,6/11/21 12:43,6/11/21 12:49,0,100,416,1,6/11/21 12:49,EN,0.9, ,0,0,10/14/1582 0:00:00,1, , ,1, , , , ,1, , , , , ,1, ,2, , , , ,1, , , , , , , ,2,4, , , , , , , , ,1, , , , , , , ,2,3,1, ,1,1,1, ,1, ,1, , ,1, , , , ,2, ,1,1, , ,1, , , , , ,2, , , ,1, , , , , ,1, ,1, ,1,4,3, , , ,1, ,1, ,1,1, , ,1, , , ,2,1,1,1, , , , , , , ,5,1981,92582, ,1, , , , , ,1,5,3,1, ,1, , , , ,0,
759,6/11/21 13:25,6/11/21 13:35,0,100,583,1,6/11/21 13:35,EN,0.9, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,Disabled,4,2,1, , , , , ,1, , , , ,1, , , , ,1,2, , , ,1, , , , , , ,2, , , , ,1, , , ,1, ,Caregiver,6, , , ,3, , , ,1, , , , , , ,1, , ,1, ,2,2,1, , , , , , , , ,1,1971,90002, ,1, , , , , ,1,1,2,1, ,1, , , , ,0,
760,6/11/21 14:07,6/11/21 14:08,0,100,67,1,6/11/21 14:08,EN,0.8, ,0,0,10/14/1582 0:00:00,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1, , , , ,0,
761,6/11/21 13:59,6/11/21 14:08,0,100,547,1,6/11/21 14:08,EN,0.9, ,0,0,10/14/1582 0:00:00,1, , ,1, , , , ,1, , , , , ,1, ,4, , , , , , , , , ,1, ,Banking finance,2,4, , , , , , , , , , , , , ,1, ,Banking,1,3,2,1,1,1, , ,1, , ,1,1,1, , , , ,2, ,2,1,1, , , ,1, , , ,2, , , , ,1, , , , ,1, ,4, ,2, ,3, , , ,1, ,2, ,1,1, ,1,1, , , ,2,3,1, , , , , , , , ,5,1968,92220, ,1, , , , , ,2, ,9,1, ,1, , , , ,0,
762,6/11/21 14:05,6/11/21 14:14,0,100,521,1,6/11/21 14:14,EN,1, ,0,0,10/14/1582 0:00:00,1, ,1,1, , , , ,1, , , , , ,1, ,2, , , , , , , , , ,1, ,non profit,2,4, , , , , , , , , , , , , ,1, ,Nonprofit,1,3,1, ,1,1, , ,1,1, , , , , , , , ,1,2, ,1,1, ,1, ,1, ,1, ,2, , , , ,1, , , ,1, ,"If required to work in person, I will be looking for remote employment",7,Mail in test,1,1,3, , , ,1, ,1, , , , , , , ,1, ,1,1,1, , , , , , , , ,5,1984,92505, ,1, , , , , ,2, ,4,1, ,1, , , , ,0,
763,6/11/21 14:42,6/11/21 14:47,0,100,311,1,6/11/21 14:47,EN,1, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, ,1, , , ,1, ,3,1, , , , , , , , , , , , ,4, , , , ,1, , , , , , , , , , , ,1,1,1,1, , , , , ,1, , , ,1, , , , ,2, ,1,1,1,1, , , , , , ,2, , ,1, , , , , , ,1, ,1, ,1,20+,3, , , ,1, ,2, ,1,1, , ,1, , , ,2,1, , , , , , , ,4, ,5,1984,93536, ,1, , , , , ,1,3,6,1, ,1, , , , ,0,
764,6/11/21 14:41,6/11/21 14:55,0,100,855,1,6/11/21 14:55,EN, , , , ,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,1, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , ,1, , , , , ,1, ,2, , , ,1, , , , , , , , , , , , , ,1, ,2,1, , , , , ,1, ,4, ,1,1948,90305, ,1, , , , , ,2, ,4,1, , , , , , ,0,
765,6/11/21 15:42,6/11/21 15:53,0,100,639,1,6/11/21 15:53,EN,0.9, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2,1, , , , , , , , , , , ,1,4, , , , ,1, , , , , , , , , , , ,1,3,1,1,1, , , ,1,1,1,1, , , , , , ,2, ,1,1, ,1, , , , , , ,2, , , , ,1, , , , ,1, ,4, ,1,25,3, , , ,1, ,2,Had to do a grievance for them ueopping me also they took me through the ringer when i asked to use my covid emergency 80 hours,1, , , , , , , ,2,1, , , , , ,1, ,4,I did receive stimulus,5,1983,90242, ,1, , , , , ,1,1,4,1, , , , , , ,0,
766,6/11/21 16:25,6/11/21 16:33,0,100,462,1,6/11/21 16:33,EN,1, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,1, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1, ,1,1,2, , , , ,1, , , , ,1, ,3, , , ,2, , , , , , , , , , ,1, , , , ,2,1,1, , , , , , , , ,3,1962,91030, ,1, , , , , ,2, ,4,1, ,1, , , , ,0,
767,6/11/21 17:15,6/11/21 17:36,0,100,1245,1,6/11/21 17:36,EN,0.8, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,4, , , , ,1, , , , ,1, ,Security,2,4, , , , , , , , ,1, , , , , , , ,2,3,1,1,1,1, , ,1,1,1,1, ,1, , , , ,2, ,1,1,1, , , , , , , ,2, , , ,1, ,1, , , , , ,1, ,2, ,2, , , , , ,1, , , , ,1, , , , ,2,1,1, , , , , , , , ,3,1976,90810, ,1, , , , , ,2, ,4,1, , , , , , ,0,
768,6/11/21 20:00,6/11/21 20:14,0,100,802,1,6/11/21 20:14,EN,1, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2, , , , , , , , , ,1, ,Government- law/legal,2,3, ,1, , , , , , , , , , , ,1, ,Government-legal/law,1,3,1,1,1,1, , ,1,1,1,1, , , , , , ,2, ,2,1,1,1, , ,1, ,1, ,2, , , , ,1, , , , ,1, ,2, , , ,2, , , , , , , , , , , , , ,1, ,2,1,1, , , , , , , , ,3,1990,90008, ,1, , , , , ,2, ,6,1, , , , , , ,0,
769,6/11/21 20:30,6/11/21 20:34,0,100,275,1,6/11/21 20:34,EN,0.9, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2, , , ,1, , , , , , , , , ,1, ,2, ,1, , , ,1, , , , , , , , ,2,3,2, ,1, , , , , , , , , , , , , ,1,1, , , , , , , , , , ,1,4, , , , ,1, , , , , ,1, ,2, ,1, , , , , ,1, , , , , ,1, , , ,2,3, , , , , ,1, ,4, ,5,1986,93550,1, , , , , , ,1,2,2,1,1,1, , , , ,0,
770,6/11/21 20:59,6/11/21 21:03,0,100,250,1,6/11/21 21:03,EN,0.8, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,3, ,1,1, , , , , , , , , ,1,1,1,1,1, , , , , , , , , , ,1, ,Security,1,1, ,1, , , ,1,1,1,1,1,1,1, , , , ,2, ,1,1,1, , , , , , , , , , , , , ,1, , , , , ,4, ,1,10+,3, , , ,1, ,1, ,1,1, , ,1, , , ,2,1,1, , , , , , , , ,5,1990,90044,1, , , , , , ,1,2,3,1,1,1, , , , ,0,
771,6/11/21 21:07,6/11/21 21:17,0,100,593,1,6/11/21 21:17,EN,0.9, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2, , , , , , , , , ,1, ,Government,2,4, , , , , , , , , , , , , ,1, ,Government,1,3,1,1,1,1, , ,1,1,1,1, ,1, , , , ,1,2, , , , ,1,1,1, , , ,2, , , , ,1, , , , ,1, ,4, ,1,Not sure.,2, , , , , ,1, , ,1, , , , , , ,2,1, , , , , ,1, ,4,I did not qualify.,4,1962,90305,1, , , , , , ,2, ,7,1, ,1, , , , ,0,
772,6/11/21 21:39,6/11/21 21:46,0,100,433,1,6/11/21 21:46,EN,0.9, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,3, , , ,1, , , , ,1, ,Child care, ,2,1, ,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , ,1,1, , , , ,1, , , , , ,2, , , ,3, , , ,1, , , , , , , ,1, , , ,1,2,1, , , , , , , , ,5,1986,90003, ,1, , , , , ,1,1,2,1, ,1, , , , ,0,
773,6/11/21 21:46,6/11/21 21:54,0,100,433,1,6/11/21 21:54,EN,1, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2,1, , , , , , , , , , , ,2,4, , , , ,1, , , , , , , , , , , ,1,3,1,1, , , , ,1, , , , , , , , , ,1,2, ,1,1,1,1,1,1,1,1,1,2, , , ,1, , , , ,1, ,Education,4, ,1,8,2, , , , , ,1, , ,1, , , , , , ,1,2,1, , , ,1, ,Food distribution, , ,4,1971,90018, ,1, , , , , ,2, ,4,1, ,1, , , , ,0,
774,6/12/21 8:38,6/12/21 8:51,0,100,749,1,6/12/21 8:51,EN,1, ,0,0,10/14/1582 0:00:00,1, , , ,1, , , ,1, , , , , ,1, ,2, , , , , , ,1, , , , , ,1,4, , , , , , , , , , ,1, , , , , ,1,1,1,1, , , , ,1,1,1,1, , , , , , ,2, ,1, ,1,1, , ,1, ,1, ,2, , , , ,1,1,1,1,1, , ,2, ,1, ,2, , , , , ,1, , ,1, ,1,1, , , ,2,1,1, , , , , , , , ,4,1986,92116,1, , , , , , ,2, ,7,1, , , , , , ,0,
775,6/12/21 11:54,6/12/21 12:09,0,100,890,1,6/12/21 12:09,EN,0.9, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,4, , , , , ,1, , , , , , , ,3, ,1,2, , , , , , ,1, , , , , , ,4,2,1, , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1,1, , , , ,1, , , , , ,4, , , ,2, , , , , , , , , , , , , ,1, ,2,1, , , , , ,1, ,4,Not received yet,5,1978,91001,1, , , , , , ,2, ,4,1, , , , , , ,0,
776,6/12/21 12:22,6/12/21 12:28,0,100,383,1,6/12/21 12:28,EN,1, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2,1, , , , , , , , , , , ,2,1, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , ,1, , ,1,2, , , ,1,1, , ,1, , , ,2, , , ,3, , , ,1, , , , , , , , , ,1, ,1,2,1, , , , , , , , ,5,1971,90016, ,1, , , , , ,1,2,3,1, ,1, , , , ,0,
777,6/12/21 12:29,6/12/21 12:38,0,100,518,1,6/12/21 12:38,EN,0.9, ,0,0,10/14/1582 0:00:00,1, ,1, , , , , ,1, , , , , ,1, ,4, , , , ,1, , , , , , , , ,4, , , , , , , , ,1, , , , , , , ,1,1,1,1, , , , ,1, , ,1, , , , , , ,2, ,1, , , , , , , , , ,2, , , ,1, ,1, , , , , ,3, ,1,"3, but my employer did not share the information.",1, , , , , ,2,"I work more than 40 hours per week to complete necessary tasks, but I do not qualify for health insurance. When I fell ill, I was forced to visit the ER due to a lack of insurance. Needless to say, this resulted in a substantial bill. I was then prevented from returning to work until I visited the same ER, obtaining another bill, to allow me to return to work. I was not offered any assistance.", , , ,1, , , , ,2,1,1, , , , , , , , ,5,1985,92324, ,1, , , , , ,2, ,3,1, ,1, , , , ,0,
778,6/12/21 12:26,6/12/21 12:39,0,100,757,1,6/12/21 12:39,EN,0.9, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2, , , , ,1, , , , , , , ,2,3, ,1, , , , , , ,1, , , , , , , ,1,3,2, , ,1, , , , , ,1, ,1, , , , ,2, ,1,1, , , , , , , , ,1,5, , , , , , , , ,1, ,1, , , ,2, , , , , , , , , , , ,1, , , ,1,1,1, , , , , , , , ,4,1957,90044, ,1, , , , , ,1, ,9,1, , , , , , ,0,
779,6/12/21 12:41,6/12/21 12:50,0,100,578,1,6/12/21 12:50,EN,0.9, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2, , , , , , , , ,1, ,Barber, ,1,4, , , , , , , , , , , , ,1, ,Barber, ,1,2,2, , , , , , , , , , , , ,1, , ,2, ,2, , , , , , , , , ,2, , , ,1, , , , , ,1, ,4, ,2, ,2, , , , , ,1, , , , , , , ,1, ,2,3,1, , , , , , , , ,1,1967,90013,1, , , , , , ,2, ,3,1, ,1, , , , ,0,
780,6/12/21 12:53,6/12/21 12:56,0,100,196,1,6/12/21 12:56,EN,0.9, ,0,0,10/14/1582 0:00:00,1,1, , , , , , ,1, , , , , ,1, ,2, , ,1, , , , , , , , , , ,1, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , ,1, , , ,4, , , ,1, , , , , , , , ,1, , , , , , , ,2, , , ,1, , , ,1, ,5,1980,90002, ,1, , , , , ,1,2,4,1,1,1, , , , ,0,
